Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	EpGoals	TestEpGoals	CumulativeCost	CostRate	TotalEnvInteracts	AverageQR1Vals	StdQR1Vals	MaxQR1Vals	MinQR1Vals	AverageQR2Vals	StdQR2Vals	MaxQR2Vals	MinQR2Vals	AverageQCVals	StdQCVals	MaxQCVals	MinQCVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQR1	LossQR2	LossQC	LossAlpha	LogAlpha	Alpha	LossBeta	LogBeta	Beta	PiEntropy	TestTime	EpochTime	TotalTime
21	2.8369348	0.5984144	4.085131	0.0008422572	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	967.80646	1000.0	0.0	0.0	7383.0	0.011186363636363637	630001.0	123.117455	11.639716	133.77837	-28.145018	123.11735	11.636673	133.74884	-32.65906	0.2890765	2.301405	48.995502	-0.9426025	-1.3065951	0.39998016	6.3380594	-7.4471045	-123.32828	2.113813	2.1177506	0.03047745	3.3065948	0.0	1.0	2.4115248e-14	-29.800785	1.1426869e-13	1.3065948	11.605873	228.5225	4925.816655397415
22	2.7797601	0.55309993	3.727343	0.31519186	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	970.9355	1000.0	0.0	0.0	7383.0	0.0107	660001.0	122.78344	11.798186	133.64139	-46.870995	122.78333	11.795738	134.11035	-38.987934	0.3291672	2.9909956	73.56638	-1.1120565	-1.3092891	0.39018986	5.9377966	-10.963302	-121.79415	1.9767404	1.9895685	0.0333076	3.3092892	0.0	1.0	1.7674349e-14	-29.899357	1.0351529e-13	1.3092893	12.939627	229.71577	5155.560214996338
23	2.829297	0.73926485	3.7072484	0.099668205	0.0	0.0	0.0	0.0	3.46875	19.313183	111.0	0.0	0.0	0.0	0.0	0.0	941.9375	1000.0	0.0	0.0	7494.0	0.010408333333333334	690001.0	123.66909	10.923937	132.1373	-26.773165	123.66918	10.918549	131.94516	-36.48412	0.3213868	3.121971	78.09196	-0.9408697	-1.3144515	0.3820713	6.602601	-7.469679	-122.43589	1.8473405	1.8525773	0.037959825	3.3144515	0.0	1.0	1.7004066e-14	-29.98378	9.513329e-14	1.3144515	12.410505	229.34843	5384.915731668472
24	3.0796545	0.30459	3.6907747	2.4100544	0.0	0.0	0.0	0.0	5.366667	20.830238	110.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	0.0	0.0	7655.0	0.010206666666666666	720001.0	123.97827	10.782198	131.59183	-25.484678	123.97817	10.780818	131.14099	-28.070082	0.3308498	3.1952999	86.62603	-1.4372722	-1.3153571	0.3855198	11.779885	-8.827301	-122.601326	1.963897	1.9680622	0.03928653	3.315357	0.0	1.0	1.4915752e-14	-30.061174	8.804146e-14	1.3153571	12.375992	227.86087	5612.755823135376
25	2.8522577	0.9375592	4.281247	0.06321922	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	898.24243	1000.0	0.0	0.0	7655.0	0.009814102564102565	750001.0	124.21972	10.916267	132.82042	-42.72443	124.219635	10.912374	132.75209	-40.53482	0.30864972	2.7278638	83.876465	-1.7234038	-1.3194883	0.375061	10.3953905	-7.074813	-123.7097	1.6941739	1.6982548	0.0362789	3.3194878	0.0	1.0	1.5680321e-14	-30.133358	8.191406e-14	1.3194876	12.446995	229.30498	5842.062615871429
26	2.9101605	0.907934	3.953548	0.052894767	0.0	0.0	0.0	0.0	3.4545455	15.755886	91.0	0.0	164.6	329.42136	850.0	0.0	916.24243	1000.0	0.0	0.0	7804.0	0.009634567901234568	780001.0	124.37835	10.054268	133.20255	-42.397522	124.37833	10.047823	132.63863	-32.05128	0.34015998	1.945199	64.54194	-1.4545476	-1.3201206	0.36049595	6.318578	-7.8625813	-124.99947	1.8189151	1.8183504	0.030508941	3.3201203	0.0	1.0	1.2248831e-14	-30.201742	7.6491344e-14	1.3201203	12.469563	228.85353	6070.917610645294
27	2.8570094	0.7719283	3.8880117	0.08285158	0.0	0.0	0.0	0.0	8.939394	26.876755	112.0	0.0	0.0	0.0	0.0	0.0	920.6667	1000.0	0.0	0.0	8064.0	0.0096	810001.0	124.4311	10.654304	132.28978	-38.090565	124.431076	10.653459	131.78479	-33.073036	0.34639856	1.8591695	42.520573	-1.1735268	-1.3212318	0.35843444	5.789486	-8.317405	-125.12158	1.7101135	1.7153791	0.02391789	3.3212318	0.0	1.0	1.1134819e-14	-30.25427	7.257552e-14	1.3212317	12.790774	230.58038	6301.494266748428
28	3.1632164	0.365458	4.359888	2.6303318	0.0	0.0	0.0	0.0	4.6666665	20.017214	109.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	0.0	0.0	8204.0	0.009429885057471265	840001.0	124.167076	10.644146	133.32156	-32.247894	124.16718	10.64018	132.65459	-23.441044	0.3067716	1.8890668	48.539886	-0.993798	-1.3230376	0.35335034	5.6698923	-8.11974	-124.873764	1.7087823	1.7177787	0.024152089	3.3230374	0.0	1.0	1.3224299e-14	-30.311728	6.852549e-14	1.3230377	12.158789	227.05682	6528.569160223007
29	2.9758534	0.96369904	4.817894	0.052722596	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	917.3939	1000.0	0.0	0.0	8204.0	0.009115555555555556	870001.0	123.541084	10.363676	133.58458	-47.758564	123.54109	10.361798	132.65349	-20.888262	0.28984192	1.9665898	51.711945	-0.89076686	-1.3228837	0.35623413	7.325095	-7.890452	-124.172226	1.4331932	1.4201424	0.02375851	3.3228836	0.0	1.0	1.3498819e-14	-30.376308	6.424081e-14	1.3228837	12.147292	228.69473	6757.264636993408
30	2.8957357	0.83749	4.1425266	0.22998972	0.0	0.0	0.0	0.0	1.03125	4.41223	24.0	0.0	0.0	0.0	0.0	0.0	914.90625	1000.0	0.0	0.0	8237.0	0.008856989247311828	900001.0	123.67625	10.457818	132.81084	-17.188784	123.67635	10.45462	133.9251	-16.617777	0.26975128	1.71932	48.57982	-0.9234433	-1.3208456	0.36084867	7.904279	-7.9752526	-124.60028	1.483384	1.4806117	0.024073234	3.3208454	0.0	1.0	1.38668585e-14	-30.44098	6.0217964e-14	1.3208454	11.86935	228.83774	6986.066775083542
31	2.7122006	0.8094459	4.1609435	0.2547618	0.0	0.0	0.0	0.0	0.8181818	4.6283355	27.0	0.0	0.0	0.0	0.0	0.0	918.8788	1000.0	0.0	0.0	8264.0	0.008608333333333334	930001.0	123.83966	10.202004	133.82622	-44.47826	123.83963	10.199147	134.98335	-48.013756	0.26998574	1.7082156	42.183155	-1.0278201	-1.3185425	0.36404547	5.8599644	-6.5838695	-124.78899	1.513818	1.5171943	0.023279205	3.3185422	0.0	1.0	1.3024622e-14	-30.50264	5.661567e-14	1.3185425	13.349801	228.94273	7215.02336192131
32	2.6484816	0.7734165	3.7396157	0.040239584	0.0	0.0	0.0	0.0	0.0625	0.34798527	2.0	0.0	0.0	0.0	0.0	0.0	938.75	1000.0	0.0	0.0	8266.0	0.008349494949494949	960001.0	124.11581	9.8850355	133.67375	-34.604893	124.11585	9.883022	135.79655	-33.63259	0.2734715	1.6565182	43.756607	-1.0622116	-1.3191811	0.3689414	9.316167	-6.998091	-125.11408	1.508106	1.516272	0.023436278	3.319181	0.0	1.0	1.2120612e-14	-30.55985	5.3466647e-14	1.319181	12.551658	227.51863	7442.540956497192
33	2.8598156	0.7350509	4.2921586	0.08561804	0.0	0.0	0.0	0.0	4.625	21.286366	120.0	0.0	0.0	0.0	0.0	0.0	943.5	1000.0	0.0	0.0	8414.0	0.008249019607843137	990001.0	124.658714	9.65687	133.27844	-32.338608	124.65879	9.650937	133.95142	-40.34622	0.28041455	1.734246	48.430443	-1.1443845	-1.3195021	0.36172786	9.447552	-9.11972	-125.587135	1.497728	1.5056539	0.023077859	3.3195019	0.0	1.0	1.1134419e-14	-30.613106	5.0692994e-14	1.3195019	12.46921	228.69632	7671.241167545319
34	3.0906167	0.3490999	3.77699	2.3900647	0.0	0.0	0.0	0.0	13.166667	67.81646	378.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	0.0	0.0	8809.0	0.00838952380952381	1020001.0	125.36555	9.1491785	133.6713	-25.175438	125.36541	9.148292	133.2602	-33.449677	0.25312778	1.5273311	44.950264	-1.136722	-1.3251102	0.34764165	7.0169406	-7.6078606	-126.513374	1.4289607	1.429157	0.024159517	3.3251104	0.0	1.0	1.1857112e-14	-30.665354	4.8112715e-14	1.3251102	12.757676	227.07053	7898.32311964035
35	2.8813667	0.74622816	3.707128	0.19664915	0.0	0.0	0.0	0.0	18.875	45.123962	168.0	0.0	0.0	0.0	0.0	0.0	943.53125	1000.0	0.0	0.0	9413.0	0.008715740740740741	1050001.0	126.40905	7.7145896	133.7593	-2.0795717	126.40903	7.7170825	133.35687	-0.70873463	0.24677102	1.1278191	30.459618	-0.99799633	-1.3353007	0.30682808	5.124424	-6.448374	-127.89208	1.0649033	1.06933	0.025094923	3.3353002	0.0	1.0	1.153166e-14	-30.721418	4.548984e-14	1.3353006	12.468988	221.32217	8119.649153709412
36	3.099301	0.65369695	3.9034219	0.077198684	0.0	0.0	0.0	0.0	33.066666	99.230354	504.0	0.0	0.0	0.0	0.0	0.0	967.9	1000.0	0.0	0.0	10405.0	0.009373873873873874	1080001.0	127.314224	6.987857	134.17863	2.929792	127.314285	6.9875965	134.00372	6.059541	0.27158177	1.1473415	29.954926	-1.225826	-1.3378001	0.29562327	4.146612	-6.666192	-128.77222	0.6944958	0.70182574	0.02737553	3.3378	0.0	1.0	9.829303e-15	-30.7765	4.3051676e-14	1.3378001	11.987811	227.87125	8347.488844394684
37	3.1290238	0.31528428	4.053437	2.5254128	0.0	0.0	0.0	0.0	66.77419	131.10442	424.0	0.0	0.0	0.0	0.0	0.0	994.80646	1000.0	0.0	0.0	12475.0	0.010942982456140352	1110001.0	129.3018	4.932988	135.0333	56.980396	129.30179	4.934408	134.81064	59.571274	0.2859691	1.381766	38.222973	-1.4027312	-1.350763	0.24514438	3.317305	-6.9552984	-130.5831	0.26992366	0.26839098	0.032253474	3.350763	0.0	1.0	8.747671e-15	-30.82948	4.0829187e-14	1.3507632	13.115894	229.20999	8576.696306467056
38	2.8669236	0.88166946	3.8533213	0.159491	0.0	0.0	0.0	0.0	10.333333	35.151333	147.0	0.0	0.0	0.0	0.0	0.0	908.0	1000.0	0.0	0.0	12816.0	0.010953846153846154	1140001.0	130.37415	4.408766	137.64824	65.04905	130.37411	4.40911	137.60802	63.005333	0.28954825	1.4572452	36.888905	-1.2250606	-1.354661	0.23054574	6.130102	-6.4981694	-131.60878	0.40067986	0.39620766	0.030711545	3.354661	0.0	1.0	8.192458e-15	-30.87717	3.8927635e-14	1.3546607	12.295258	228.84216	8805.570628166199
39	3.0297508	0.7203291	3.8313737	0.014344592	0.0	0.0	0.0	0.0	3.53125	14.985377	81.0	0.0	0.0	0.0	0.0	0.0	928.6875	1000.0	0.0	0.0	12929.0	0.010774166666666666	1170001.0	130.22383	4.5806627	137.68913	66.52352	130.22382	4.57997	137.01897	66.71863	0.28067473	1.415654	32.742683	-1.1792595	-1.3542919	0.23654386	4.9905744	-7.1825104	-131.48666	0.39744824	0.39477822	0.027218739	3.3542922	0.0	1.0	8.138363e-15	-30.924488	3.7128605e-14	1.3542922	11.858177	228.59576	9034.149272203445
40	3.0449617	0.93474	4.006662	0.036038764	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	12.0	40.0	0.0	917.3939	1000.0	0.0	0.0	12929.0	0.010511382113821138	1200001.0	130.3427	4.3162494	137.75578	66.7519	130.3427	4.315447	137.13475	66.479805	0.26998818	1.39917	31.672287	-1.0638243	-1.3536587	0.23457515	4.8273144	-7.4137025	-131.63533	0.43924582	0.4349636	0.029111745	3.353659	0.0	1.0	8.1332425e-15	-30.973234	3.5362203e-14	1.3536588	11.12369	228.27129	9262.42888045311
41	3.1842005	0.3900402	4.1286197	2.5448282	0.0	0.0	0.0	0.0	3.6333334	13.575673	70.0	0.0	4.6	13.8	46.0	0.0	993.7	1000.0	0.0	0.0	13038.0	0.010347619047619048	1230001.0	130.2847	4.2248626	138.158	67.06028	130.28465	4.2237716	137.48215	67.98235	0.2869318	1.455247	32.677685	-1.1400168	-1.3515553	0.24460523	4.765873	-6.337388	-131.52615	0.36999804	0.365642	0.027767006	3.351555	0.0	1.0	7.197858e-15	-31.018883	3.3783238e-14	1.3515555	12.133523	226.39798	9488.803769826889
42	3.0709453	0.58666325	4.090939	0.5206042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	959.5806	1000.0	0.0	0.0	13038.0	0.010106976744186046	1260001.0	130.38666	4.154026	137.84991	67.3406	130.38669	4.151092	137.2372	67.54673	0.2696327	1.4006962	32.317955	-1.0604084	-1.3509532	0.24692573	5.546582	-6.6211615	-131.67833	0.4781769	0.47353786	0.029067505	3.350953	0.0	1.0	7.446114e-15	-31.063051	3.2324133e-14	1.3509531	11.973007	229.76965	9718.601156234741
43	3.106131	0.69275266	4.296679	0.67502034	0.0	0.0	0.0	0.0	0.4375	2.4358969	14.0	0.0	0.0	0.0	0.0	0.0	940.375	1000.0	0.0	0.0	13052.0	0.009887878787878788	1290001.0	130.58028	3.8238795	138.63	71.259026	130.58025	3.8208125	137.92398	71.74182	0.2623925	1.352389	37.74077	-0.992169	-1.3523201	0.24178344	4.208172	-5.9459558	-131.92041	0.43977147	0.43590912	0.027906312	3.35232	0.0	1.0	7.339285e-15	-31.108902	3.0875374e-14	1.3523202	12.318445	229.92036	9948.504317045212
44	2.9227076	0.78189254	4.00658	0.1164555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	942.3125	1000.0	0.0	0.0	13052.0	0.009668148148148148	1320001.0	130.52913	3.614025	137.90082	72.412285	130.5291	3.6122015	137.71732	72.053314	0.28422886	1.5520195	40.488266	-1.0976503	-1.350885	0.24705309	4.9490232	-6.6687546	-131.67667	0.4809778	0.4774717	0.02791678	3.3508852	0.0	1.0	6.3966823e-15	-31.150015	2.9630747e-14	1.3508854	11.874719	227.51155	10176.046258687973
